Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C28, C29, C4, C5, C7, C9",CP_EIA-3216-10_Kemet-I,8,10uF,C7171
C10,0805,1,100nF,C49678
C11,0805,1,100nF,C49678
C12,0805,1,22pF,C1804
C13,0805,1,22pF,C1804
C14,0805,1,100nF,C49678
C15,0805,1,100nF,C49678
C16,0805,1,100nF,C49678
C17,0805,1,100nF,C49678
C18,0805,1,47nF,C53134
C19,0805,1,1uF,C28323
C20,0805,1,100nF,C49678
C21,0805,1,10nF,C1710
C22,0805,1,100nF,C49678
C23,0805,1,10nF,C1710
C24,0805,1,100nF,C49678
C25,0805,1,3.3nF,C1738
C27,0805,1,3.3nF,C1738
C3,CP_Elec_8x6.5,1,220mF,C249498
C6,0805,1,100nF,C49678
C8,0805,1,100nF,C49678
D1,0805,1,PWR(RED),C84256
D2,0805,1,BOOT(GREEN),C84260
MD1,ESP32-WROVER-IE,1,ESP32,C701350
R1,0805,1,"1,8K",C17398
R10,0805,1,10R,C17415
R11,0805,1,20R,C17544
R12,0805,1,20R,C17544
R13,0805,1,470,C17710
R14,0805,1,470,C17710
R15,0805,1,10K,C17414
R16,0805,1,10K,C17414
R2,0805,1,1K,C17513
R3,0805,1,"1,8K",C17398
R4,0805,1,10K,C17414
R5,0805,1,10K,C17414
R6,0805,1,10K,C17414
R7,0805,1,1M,C17514
R8,0805,1,100K,C149504
R9,0805,1,100K,C149504
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,SOT-223-3_TabPin2,1,AMS1117-1.8,C6185
U3,LQFP-48_7x7mm_P0.5mm,1,VS1053B,C9922
Y1,Crystal_SMD_HC49-SD,1,12.288MHz,C11240
